dB as a percentage of gain and loss												
						Loss					Gain	
												
1	dB	0.1		0.794328235		20.56717653	%		1.258925412		25.89254118	%
2	dB	0.2		0.630957344		36.90426555	%		1.584893192		58.48931925	%
3	dB	0.3		0.501187234		49.88127664	%		1.995262315		99.5262315	%
4	dB	0.4		0.398107171		60.18928294	%		2.511886432		151.1886432	%
5	dB	0.5		0.316227766		68.3772234	%		3.16227766		216.227766	%
6	dB	0.6		0.251188643		74.88113568	%		3.981071706		298.1071706	%
7	dB	0.7		0.199526231		80.04737685	%		5.011872336		401.1872336	%
8	dB	0.8		0.158489319		84.15106808	%		6.309573445		530.9573445	%
9	dB	0.9		0.125892541		87.41074588	%		7.943282347		694.3282347	%
10	dB	1		0.1		90	%		10		900	%
11	dB	1.1		0.079432823		92.05671765	%		12.58925412		1158.925412	%
12	dB	1.2		0.063095734		93.69042656	%		15.84893192		1484.893192	%
13	dB	1.3		0.050118723		94.98812766	%		19.95262315		1895.262315	%
14	dB	1.4		0.039810717		96.01892829	%		25.11886432		2411.886432	%
15	dB	1.5		0.031622777		96.83772234	%		31.6227766		3062.27766	%
16	dB	1.6		0.025118864		97.48811357	%		39.81071706		3881.071706	%
17	dB	1.7		0.019952623		98.00473769	%		50.11872336		4911.872336	%
18	dB	1.8		0.015848932		98.41510681	%		63.09573445		6209.573445	%
19	dB	1.9		0.012589254		98.74107459	%		79.43282347		7843.282347	%
20	dB	2		0.01		99	%		100		9900	%
21	dB	2.1		0.007943282		99.20567177	%		125.8925412		12489.25412	%
22	dB	2.2		0.006309573		99.36904266	%		158.4893192		15748.93192	%
